EventName,Text,Label
Missed Shot by Darren CollisonRebound by Joel Embiid,"If you go into that defensive circle and post up, you notice the defensive players behind you and policy and left that jump look a little bit short.",1.0
3-pointer by PJ TuckerAssist by Eric Gordon,He's double teamed.,1.0
Dunk by Aaron GordonAssist by Evan Fournier,Jordan trying to post up against Oxymora.,1.0
Missed Shot by Gordon Hayward,They're going to come and help on all of his post ups.,0.0
Rebound by Eric Bledsoe,They're going to come and help on all of his post ups.,0.0
2-pointer by LaMarcus AldridgeAssist by DeMar DeRozan,Maybe tonight not to double team as much.,0.0
Turnover by Joel EmbiidSteal by Kyle Lowry,"Or for tried to tuck in, but Lowry always takes those post ups personally.",0.0
Missed Shot by Brandon IngramRebound by Andrew Wiggins,Doesn't get the finger roll challenged at the rim.,1.0
3-pointer by Michael Porter Jr.,"Now over tomorrow good pump, fake jokisch.",1.0
Missed Shot by D'Angelo RussellRebound by John Henson,I was three shots and made 0 Russell penetration floater.,1.0
2-pointer by Russell Westbrook,"Well, I saw a different type of defense against the Raptors double teamed every time he touched the ball is Westbrook runs is for the midrange shot of fibrosing.",0.0
Missed Shot by Willie Cauley-Stein,Richardson came over from Philly last year and Cauley Stein went for the slam dunk.,1.0
Rebound by Christian Wood,Richardson came over from Philly last year and Cauley Stein went for the slam dunk.,1.0
Turnover by Cameron Reddish,In a pretty good pick and roll team as well.,0.0
2-pointer by Tony Snell,His floater is good.,1.0
Turnover by Joe HarrisSteal by Brandon Goodwin,Take that away and Brandon Goodwin takes it coast to coast against Prince.,1.0
Dunk by Clint CapelaAssist by James Harden,And they just conceded a pick and roll.,1.0
Rebound by Derrick White,Coast to coast kissed it off the glass short rebound white.,1.0
Missed Shot by Derrick FavorsRebound by Julius Randle,Slam dunk champion.,0.0
2-pointer by Kyrie Irving,"Left handed floater for two, see this little hesitation move.",1.0
3-pointer by Jayson Tatum,Little pick and roll game Kemba Walker to master at that and Daniel Theis unable to put it down.,0.0
2-pointer by Giannis Antetokounmpo,Downhill in the finger roll is good.,1.0
2-pointer by Trae Young,"Just the second time he's had a losing record with Eric at the helm, there's the floater from Trae Young to start thinking.",1.0
2-pointer by Danilo GallinariAssist by Patrick Beverley,Here's the post up for Danilo.,1.0
2-pts Made by Dillon BrooksAssist by Marc Gasol,There is an outlet pass.,1.0
2-pointer by Donovan Mitchell,"No way, no way here comes out around the corner up a ghost floater counted Mitchell 17.",1.0
2-pointer by Ben SimmonsAssist by Joel Embiid,Ben Simmons got all the way to the bucket in the finger roll good.,1.0
2-pointer by D'Angelo RussellAssist by Willie Cauley-Stein,DeAngelo Russell leans in and gets the floater.,1.0
Missed Shot by Andre Drummond,"Are underway John Michael Austin Carr an Angel Gray welcome aboard for our first broadcast of a 2021 Darius Garland will find college Sexton Sexton High posted Drummond rubbing works on Capella, finds a country in Larry ***** back out the X of all five Cavaliers touched the ball Garland midrange floater.",0.0
Rebound by Cam Reddish,"Are underway John Michael Austin Carr an Angel Gray welcome aboard for our first broadcast of a 2021 Darius Garland will find college Sexton Sexton High posted Drummond rubbing works on Capella, finds a country in Larry ***** back out the X of all five Cavaliers touched the ball Garland midrange floater.",0.0
2-pointer by Damian Lillard,"The flooring goes to work seven to shoot, dancing in pump fakes, spins away from pressure late in.",1.0
2-pointer by Bryn Forbes,He dropped in on angles and Rudy Little late coming over and at high floater for two.,1.0
Dunk by DeAndre JordanAssist by Milos Teodosic,You go under that pick and roll.,1.0
Missed Shot by Darius GarlandRebound by Jonathan Isaac,"She's strong seasons with Orlando for the last couple of campaigns, a floater by Garland is no good.",1.0
Missed Shot by Dewayne DedmonRebound by Courtney Lee,Nice pick and roll with Dedmon turns cancer challenges.,1.0
2-pointer by Evan Fournier,"Fournier, chased by Chalmers and the fadeaway, is in.",1.0
Missed Shot by Alec BurksRebound by Rudy Gobert,And they're having some issues getting to the weak side and pick and roll so.,0.0
2-pointer by Kendrick Nunn,"So post up Robinson, teasing him with that stunt track never came really.",0.0
Jump Ball by Robin Lopez,"Is attempts have exploded with Milwaukee, took him a few extra years after Brooke, but he's there now too, as Robin wins the tip in Milwaukee controls.",0.0
Missed Shot by Justin Jackson,So I think the Knicks are gonna go to that more Nixa double teaming.,0.0
2-pointer by Marcus Smart,He gets it off of pick and rolls and things like that smart.,1.0
Jump Ball by Brook Lopez,Josh Tip in the crew chief.,0.0
Assist by Giannis Antetokounmpo,A little pick and roll action between yards and drew and drew his.,1.0
Assist by DeMar DeRozan2-pointer by Marco Belinelli,DeRozan to Belinelli the fadeaway off the window in Good Marco Belinelli.,1.0
Foul by Kyle Lowry,Usually when your back is tight you're not able to get the floaters or go off the dribble like you like him.,0.0
Missed Shot by John WallRebound by Kevin Huerter,We'll double team.,0.0
Rebound by Jaylen Brown,Just Jackson with Elena little floater.,1.0
Missed Shot by Josh Jackson,Just Jackson with Elena little floater.,1.0
2-pointer by Kris DunnAssist by Robin Lopez,Always starts the game posting up.,1.0
Foul by Draymond Green,The good pump fake.,1.0
Dunk by Robert Williams III,Robert Williams into the game and immediately flushes in an alley Oop pass from Kemba.,1.0
Missed Shot by Danilo GallinariRebound by Danilo Gallinari,Gallinari posted up against Ingram.,1.0
Turnover by Joel Embiid,Here is MB sons will bring the double team and they forced the early turnover.,1.0
